Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/TestCase_4_Search_Functionality/Verify_clicking_on_more_pages,Chrome 95.0.4638.54,,,2021-10-28 16:34:27,2021-10-28 16:35:11,43.700s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:34:27,2021-10-28 16:34:56,28.956s,PASSED
"setText(findTestObject(""Searchbar_OR/Searchbar_position""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:34:56,2021-10-28 16:34:57,0.815s,PASSED
"sendKeys(findTestObject(""Searchbar_OR/Searchbar_position""), Keys.chord(ENTER))",Chrome 95.0.4638.54,,,2021-10-28 16:34:57,2021-10-28 16:34:59,2.418s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:34:59,2021-10-28 16:35:05,5.566s,PASSED
"click(findTestObject(""Search_Result_Page_OR/Page_2_location""))",Chrome 95.0.4638.54,,,2021-10-28 16:35:05,2021-10-28 16:35:05,0.400s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:35:05,2021-10-28 16:35:10,4.400s,PASSED
"defaultpageNumber = findWebElement(findTestObject(""Object Repository/Search_Result_Page_OR/Selected_result_number"")).getText()",Chrome 95.0.4638.54,,,2021-10-28 16:35:10,2021-10-28 16:35:10,0.389s,PASSED
defaultNumber = defaultpageNumber.toInteger(),Chrome 95.0.4638.54,,,2021-10-28 16:35:10,2021-10-28 16:35:10,0.001s,PASSED
expected_search_result_Number = defaultNumber + 1.toString(),Chrome 95.0.4638.54,,,2021-10-28 16:35:10,2021-10-28 16:35:10,0.000s,PASSED
"actual_search_result_Number = getText(findTestObject(""Object Repository/Search_Result_Page_OR/Starting_search_result_number""))",Chrome 95.0.4638.54,,,2021-10-28 16:35:10,2021-10-28 16:35:11,0.393s,PASSED
"verifyMatch(actual_search_result_Number, expected_search_result_Number, false)",Chrome 95.0.4638.54,,,2021-10-28 16:35:11,2021-10-28 16:35:11,0.001s,PASSED
,,,,,,,
Test Cases/TestCase_4_Search_Functionality/Verify_prev_next_button,Chrome 95.0.4638.54,,,2021-10-28 16:35:11,2021-10-28 16:35:52,41.443s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:35:11,2021-10-28 16:35:40,29.050s,PASSED
"setText(findTestObject(""Searchbar_OR/Searchbar_position""), ""product manuals"")",Chrome 95.0.4638.54,,,2021-10-28 16:35:40,2021-10-28 16:35:41,0.868s,PASSED
"sendKeys(findTestObject(""Searchbar_OR/Searchbar_position""), Keys.chord(ENTER))",Chrome 95.0.4638.54,,,2021-10-28 16:35:41,2021-10-28 16:35:42,1.274s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:35:42,2021-10-28 16:35:46,4.191s,PASSED
"click(findTestObject(""Search_Result_Page_OR/Page_2_location""))",Chrome 95.0.4638.54,,,2021-10-28 16:35:46,2021-10-28 16:35:47,0.454s,PASSED
"waitForElementVisible(findTestObject(""Search_Result_Page_OR/Search_Area""), 5)",Chrome 95.0.4638.54,,,2021-10-28 16:35:47,2021-10-28 16:35:48,1.140s,PASSED
"verifyElementVisible(findTestObject(""Search_Result_Page_OR/Previous_button_location""), STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:35:48,2021-10-28 16:35:48,0.387s,PASSED
"verifyElementVisible(findTestObject(""Search_Result_Page_OR/Next_button_location""), STOP_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-28 16:35:48,2021-10-28 16:35:49,0.404s,PASSED
"verifyElementAttributeValue(findTestObject(""Search_Result_Page_OR/Page_2_location""), ""aria-pressed"", ""true"", 10)",Chrome 95.0.4638.54,,,2021-10-28 16:35:49,2021-10-28 16:35:49,0.421s,PASSED
"currentpageNumber = getText(findTestObject(""Object Repository/Search_Result_Page_OR/Page_2_location""))",Chrome 95.0.4638.54,,,2021-10-28 16:35:49,2021-10-28 16:35:50,0.405s,PASSED
convert_current_page_number = currentpageNumber.toInteger() - 1,Chrome 95.0.4638.54,,,2021-10-28 16:35:50,2021-10-28 16:35:50,0.000s,PASSED
expected_current_page_number = convert_current_page_number.toString(),Chrome 95.0.4638.54,,,2021-10-28 16:35:50,2021-10-28 16:35:50,0.000s,PASSED
"click(findTestObject(""Search_Result_Page_OR/Previous_button_location""))",Chrome 95.0.4638.54,,,2021-10-28 16:35:50,2021-10-28 16:35:50,0.481s,PASSED
"actual_current_page_number = findWebElement(findTestObject(""Object Repository/Search_Result_Page_OR/Active_page_number"")).getText()",Chrome 95.0.4638.54,,,2021-10-28 16:35:50,2021-10-28 16:35:52,1.971s,PASSED
"verifyMatch(actual_current_page_number, expected_current_page_number, false)",Chrome 95.0.4638.54,,,2021-10-28 16:35:52,2021-10-28 16:35:52,0.002s,PASSED
